file	paragraph	lines	score	markers	text
011.“你们后死有责！”.txt	43	85-85	16	笑话|说|死|笑|胡适	重看你四十七天前写给我的信，你说“我以为胡学专家，非您莫属”，是对的，我真觉得我死后，没人编得好《胡适全集》了。看了梁锡华在《胡适秘藏书信选》中闹了那么多无知的笑话，你要我还“介绍”些什么呢？整个胡适遗著的事，都坏在不准有资格的人做，而没资格的又不做或乱做，如此而已。
016.我与胡适的“微妙关系”.txt	13	25-25	16	笑话|说|死|笑|胡适	事实上，郑学稼的“以为”，完全“以为”错了！其实我“接近胡适”了什么？关于《独立评论》上民治与独裁论战的事，在《独立评论》上都登得明明白白，《独立评论》第八十号、第八十一号、第八十二号、第八十三号、第八十四号、第八十六号、第八十八号、第一三〇号以及《东方杂志》第三十一卷一号及三十二卷一号，都文证俱在；至于胡适为女学生关窗户的事，1932年的《论语》第一期、1934年的《英文中国评论周报》，1934年的《人间世》第三期，以及《文人画家》那一本书也都文证俱在；至于胡适退回宣传费的事，1942年的Current Biography、VOL, LXXIX No. 9的Time杂志也都文证俱在，他郑学稼不去查书、不去了解，却硬说这是我李敖独得之秘，这不是大笑话吗？他郑学稼读书这样少，反倒以为我李敖神通如此大，大到“知道这些非外人所知的事”，这不是大笑话吗？文证俱在，任何人只要肯用功，都可以查到。可是这种跟国民党总政治部走的所谓学者却如此不学、如此无知，这种人宁愿在我与胡适有“微妙关系”上捕风捉影，也不愿在书本上多下功夫，这种疑神疑鬼，真是害己害人。郑学稼日前死了，蒋经国特颁“绩学贻徽”挽额，由军报刊出，我看了不禁一笑，“绩学贻徽”？未必未必，绩不学贻害，倒庶几无愧也！
005.胡适和三个人.txt	10	19-19	15	有一个|问|说|拒绝	三、“象恭”君此文中最荒谬的，是说陈女士曾要求与我“结为永久伴侣”，我拒绝了，然后把她介绍给任君。事实上是，在留学时代，我与陈女士虽然只见过一面，但通信是很多的。我对她当然有一种很深的和纯洁的敬爱，使我十分重视我们的友谊。但我们从来没有谈到婚姻的问题。这是因为，第一，我们那时都在青年的理想时代，谁都不把结婚看作一件重要的事；第二，当时一班朋友都知道陈女士是主张不婚主义的，所以没有一个人敢去碰钉子。她与任君相识最久、相知最深，但他们也没有婚姻之约。直到任君于1919年第二次到美囯，陈女士感他三万里求婚的诚意，方才拋弃了她的不婚主义，和他订婚。这些事都是我们一班人所深知的。“象恭”君此文中说我拒绝了“自投送门的海外艳遇”，这是对于一位女士最无礼的诬蔑与侮辱，我不能不向贵社提出抗议，贵社对此文应该有负责的道歉。
013.用胡适给傅斯年的一封私信收尾.txt	83	165-165	15	例子|说|他说|胡适	七天以后，1934年1月21日，胡适再写《政治统一的途径》（《独立评论》第八十六号），从制度上立论，反对“个人专制”与“武力统一”，用以维护民主的必要。胡适以“国会”制度做例子，他说：
018.蒋介石与胡适密件之一.txt	21	41-41	15	最后|问|说|他说|拒绝|死|请|题字|胡适|王世杰	二十七年前，王世杰对姚从吾和我回忆说：庐山谈话会，胡适抵达的下午，王世杰陪他去见蒋委员长，胡适表示：北方军人说政府不管他们了，他主战，以战争支援北方军人。胡适为一个工友题字，也题“遗民泪尽胡尘里，南望王师又一年”等主战字句。不料庐山谈话会以后，胡适又不主战了。胡适写了一封信给蒋委员长，请王世杰代转，王世杰拒绝，并写了一封信反问胡适，说他立场前后矛盾。胡适死前一个月，特别将王世杰给他的信，做了一份抄本，还给王世杰留存。王世杰又说胡适当时极力想劝蒋委员长避免对日本全面作战，他曾有书面意见托汪精卫转交。到了8月13日，全面抗战开始，9月7日政府发布的胡适去美国消息，幕后有段曲折。王世杰回忆：八一三以后，蒋委员长对他说，我们现在国际宣传工作非常重要，想找适之到欧洲和美国走一趟。于是王世杰找胡适，谈了两三晚，胡适却不肯，胡适表示：“战争已经发生，我不愿意在这个时候离开南京，我愿意与南京共存亡。”王世杰没法，抬出傅斯年劝驾。最后，傅斯年将胡适说服，胡适同意出国。王世杰说：“胡先生在战争发生前，希望避免战争，战争一发生，他则坚决表示与南京共存亡的决心，这件事是我永远不能忘的。”
005.胡适和三个人.txt	89	177-177	14	有一个|说|死	总而言之，章炳麟的古文学是五十年来的第一作家，这是无可疑的。但他的成绩只够替古文学做一个很光荣的下场，仍旧不能救活古文学的必死之症，仍旧不能做到那“取千年朽蠹之余，反之正则”的盛业。他的弟子也不少，但他的文章却没有传人。有一个黄侃学得他的一点形式，但没有他那“先豫之以学”的内容，故终究只成了一种假古董。章炳麟的文学，我们不能不说他及身而绝了。
009.“千秋万岁名，寂寞身后事”.txt	21	41-41	14	故事|说|胡适|地狱|彼得|耶稣	胡适先生走进“地狱”后，剩下的，是一片冷漠的局面。何以说冷漠呢？这是专指胡适先生生前围绕在他周围的人说的。他们这批人，在胡适先生生前俨然是他的畏友、良朋、门生、干女婿，是“蟠龙大花瓶”的赠送者、是生日酒会的拜寿者、是“胡适合会”的“标会”者……可是在胡适先生倒下以后，几乎在“尸骨未寒”的当儿，他们就变成了“不认得耶稣”的“彼得”。《新约-路加》第二十二章里，有这样的故事：
009.“千秋万岁名，寂寞身后事”.txt	61	121-121	14	例子|死|胡适	由胡适先生遗著的例子，使我们想起托尔斯泰。托尔斯泰死前知道他的著作有被“亲近的人”垄断的可能，所以他的遗嘱是秘密写的，写在森林中的一块断木上面。他的目的，是要使他的遗著不成为他“亲近的人”的私产，而成为“全人类的共有产业”，谁都可以有自由印行的权利。托尔斯泰这样做，因为他知道他自己不是属于他“亲近的人”的，也不是属于俄国的，而是属于全世界的。
013.用胡适给傅斯年的一封私信收尾.txt	22	43-43	14	有一个|问|说	虽然过了二十多年，这句老话还有时效。一般人只知道做共和国民需要较高的知识程度，他们不知道专制训政更需要特别高明的天才与知识。孔子在两千四百多年前曾告诉他的国君说：“为君难，为臣不易。如知为君之难也，不几乎一言而兴邦？”今日梦想开明专制的人，都只是不知道为君之难，不知道专制训政是人世最复杂繁难的事业。拿破仑与腓特烈固然是非常杰出的人才，列宁与斯大林也是富有学问经验的天才。俄国共产党的成功不是一朝一夕的偶然事件，是百余年中整个欧洲文明教育训练出来的。就是意大利的专制也不是偶然发生的；我们不要忘了那个小小的半岛上有十个世间最古的大学，其中有几个大学是有近千年的光荣历史的。专擅一个偌大的中国，领导四万万个阿斗，建设一个新的国家起来，这是非同小可的事，绝不是一班没有严格训练的武人政客所能梦想成功的。今日的领袖，无论是哪一党哪一派的健者，都可以说是我们的“眼中人物”；而我们无论如何宽恕，总看不出何处有一个够资格的“诸葛亮”，也看不出何处有十万五万受过现代教育训练的人才，可做我们专政的“诸葛亮”。所以我们可以说：今日梦想一种新式专制为建国的方法的人，好有一比，比五代时后唐明宗的每夜焚香告天，愿天早生圣人以安中国！
013.用胡适给傅斯年的一封私信收尾.txt	23	45-45	14	有一个|过去|问	第二，我不信中国今日有什么有大魔力的活问题可以号召全国人的情绪与理智，使全国能站在某个领袖或某党某阶级的领导之下，造成一个新式专制的局面。我们试看苏俄、土耳其、意大利、德意志的专政历史，人才之外，还须有一个富于麻醉性的热烈问题，可以煽动全国人心、可以抓住全国少年人的热血与忠心，才可以有一个强有力的政权基础。中国这几十年中，排满的口号过去了、护法的问题过去了、打倒帝国主义的口号过去了，甚至于“抗日救国”的口号也还只够引起一年多的热心。那一个最真切、最明白的救国问题，还不能团结一个当国的政党、还不能团结一个分裂的国家，这是最可痛心的教训。这两年的绝大的国难与国耻还不够号召全国的团结，难道我们还能妄想抬出一个蒋介石或者别个蒋介石，来做一个新的全国大结合的中心吗？近年也有人时时提到一个“共同信仰”的必要，但是在这个老于世故的民族里，什么口号都看得破、什么魔力都魔不动，虽有墨索里尼、虽有希特勒，虽有列宁托洛茨基，又有什么幻术可施呢？
005.胡适和三个人.txt	32	63-63	13	故事|死|胡适|陈衡哲	胡适在1962年1月18日，还跟陈衡哲的女儿、儿子（任以都、任以安）通过信。这时候，陈衡哲刚刚在大陆去世，胡适已有所闻。这次通信后三十七天，胡适也死了。他们的故事，也只有留待历史家或有志于给他们写传记的人去玩味和探讨了。
010.一贯作业搜奇.txt	61	121-121	13	笑话|笑|请|胡适|王世杰	为什么呢？原来自罗马法以来，就有“不得将大于自己所有的权利让与他人”的法谚，所谓“大于自己所有的权利”，就是“本非自己所有的权利”，或“所有，却不如所让与者等大的权利”，是不能让与他人的。如果胡适遗嘱第四条的“遗赠”，根本不包括著作权在内，那么中央研究院院长王世杰在“五十六年（1967）元月4日”请求公证的转让契约中，竟以“胡适著作权”为赠与的标的，岂不是中央研究院以“大于自己所有”“非自己所有”的权利给人了吗？岂不是等于“不得将大于自己所有的权利让与他人”了吗？这不是笑话吗？
013.用胡适给傅斯年的一封私信收尾.txt	12	23-23	13	笑话|当年|最后|笑|胡适	由于连“张忠栋教授”都闹出这种大笑话，我感到大家真该好好读读当年的原始文献了，我决定写这篇文字，重新把胡适在中国民主思想上的地位，详加肯定。因为原始文献大家多看不到，我尽量多引一些，以为文证，大家看了这些原始文件，最后才会恍然“在动乱中坚持民主的胡适”的真相，而对中国的民主前途，自然也会有所领悟矣！
007.残存日记中的爱国者.txt	69	137-137	12	后来|答|说|他说|死|胡适|张自忠	这时候，希望能够挽挽浩劫的胡适，感到很难说话，不便说话。他只提出一个建议，建议蒋委员长影响南京、上海等地的舆论界，不可在报纸上攻击张自忠将军。他说，在国际法上，一个大都市被敌人侵入、占领，做市长的，为了保全市民的生存权和财产权而和敌人订立临时性的条款，是合法的。他说他相信张自忠将军是爱国的，二十九军也是爱国的。南方当体谅北方军人的苦心谋国，不可乱攻击他们是“汉奸”。蒋委员长听了，答复说：“我立刻告知他们，不可攻击张自忠。张自忠是爱国的。二十九军是抗日的。”（二十五年后，陶希圣在台北向我回忆：“胡先生这个建议，使南京、上海等地的报纸不再攻击张自忠，张自忠非常感动，这跟他后来殉国的行为有极大关系。所以，胡先生这个建议，真可说‘害死’张自忠了。”）
010.一贯作业搜奇.txt	31	61-61	12	笑话|说|笑|胡适	所谓证人王志维笔录中，妙事有四：第一、他明说那是“属于中央研究院之公产”，但是公产又何能无条件“转赠”给私人？这是哪一国的逻辑与法理呢？第二、他“提出胡适遗著整理编辑委员会会议记录二份”，以证明“著作版权版税部分本来就是属于胡太太的”，是不可思议的。一个中央研究院附设的委员会，又哪来权利化公为私呢？这不是笑话吗？第三、他公然表示第一手台湾大学和第二手中央研究院都没取得著作权，第一手第二手既无此一权利，第三手江冬秀又何能转手取得而告人呢？第四、内政部明知江冬秀依法不能登记，因为“根据胡适之遗嘱，台大才有该权利”，并明知江冬秀取得的证明书，是化公产为私产的行为，又何能帮着做手脚呢？
013.用胡适给傅斯年的一封私信收尾.txt	24	47-47	12	笑话|有一个|说|笑	第三，我有一个很狂妄的僻见：我观察近几十年的世界政治，感觉到民主宪政只是一种幼稚的政治制度，最适宜于训练一个缺乏政治经验的民族。向来崇拜议会式的民主政治的人，说那是人类政治天才的最高发明；向来攻击议会政治的人，又说它是私有资本制度的附属品：这都是不合历史的事实的评判。我们看惯了英美国会与地方议会里的人物，都不能不承认那种制度很幼稚，那种人才也大都是很平凡的。至于说议会政治是资本主义的政治制度，那更是笑话。照资本主义的自然趋势，资本主义的社会应该有第一流人才集中的政治，应该有效率最高的“智囊团”政治：不应该让第一流的聪明才智都走到科学工业的路上去，而剩下一班庸人去统治国家。（布赖斯Bryce的《美洲民主国》曾历数美国大总统之中很少第一流英才，但他不曾想到英国的政治领袖也不能比同时别种职业里的人才；即如名震一世的格兰斯顿如何可比他同时的流辈如赫胥黎等人？）有许多幼稚民族很早就有民主政治，正不足奇怪。民主政治的好处在于不甚需要出类拔萃的人才；在于可以逐渐推广政权，有伸缩的余地；在于“集思广益”，使许多阿斗把他们的平凡常识凑起来也可以勉强对付；在于给多数平庸的人有个参加政治的机会，可以训练他们爱护自己的权利。总而言之，民主政治是常识的政治，而开明专制是特别英杰的政治。特别英杰不可必得，而常识比较容易训练。在我们这样缺乏人才的国家，最好的政治训练是一种可以逐渐推广政权的民主宪政。中国的阿斗固然应该受训练，中国的诸葛亮也应该多受一点训练。而我们看看世界的政治制度，只有民主宪政是最幼稚的政治学校，最适宜于收容我们这种幼稚阿斗。我们小心翼翼的经过三五十年的民主宪政的训练之后，将来也许可以有发愤实行一种开明专制的机会。这种僻见①，好像是戏言，其实是慎重考虑的结果，我认为值得研究政治思想的学者们的思考的。
005.胡适和三个人.txt	15	29-29	11	有一个|胡适|陈衡哲	这封胡适的抗议书，原是为了《十日谈》的一篇文章而起。二十三年4月20日第二十六期的《十日谈》上，有一个专栏“文坛画虎录”，内有“象恭”写的一篇《陈衡哲与胡适》，原文如下：
005.胡适和三个人.txt	117	233-233	11	问|答|说|请|胡适|蔡元培	在上面所说的聘请胡适、肯定胡适研究中国哲学史的成绩和推行白话文的成绩以外，蔡元培对胡适的“协助”，还有更“精彩”的，这就是1919年与林纾的一幕论战。在这幕论战里，蔡元培挺身出来，为卫护胡适等人，向守旧势力做了坚定的反驳。当时文坛的守旧势力，以林纾为首领，他在3月间写信质问蔡元培，盼他“以守常为是”，不要大事兴革。蔡元培答书中，曾有这样一段：
006.《胡适语粹》序目.txt	21	41-41	11	故事|问	二一一、资本主义；二一二、社会主义；二一三、一个忏悔；二一四、社会化的经济制度；二一五、农村救济；二一六、慈善；二一七、仁爱；二一八、社会革命；二一九、社会测量；二二〇、正统经济思想；二二一、税；二二二、家族；二二三、择偶之道；二二四、处家；二二五、无后；二二六、“无后为大”的流弊；二二七、家庭；二二八、中国婚制；；二二九、中国女子地位；二三〇、女子教育；二三一、女子作品；二三二、两面标准；二三三、怕老婆故事；二三四、姨太太；二三五、我们怎样待小孩子；二三六、感谢帝国主义者；二三七、慈幼问题
007.残存日记中的爱国者.txt	119	237-237	11	问|说|拒绝|死|请|题字|胡适|王世杰	十六年前，王世杰对姚从吾和我回忆说：庐山谈话会，胡适抵达的下午，王世杰陪他去见蒋委员长，胡适表示：北方军人说政府不管他们了，他主战，以战争支持北方军人。胡适为一个工友题字，也提“遗民泪尽胡尘里，南望王师又一年”等主战字句。不料庐山谈话会以后，胡适又不主战了。胡适写了一封信给蒋委员长，请王世杰代转，王世杰拒绝，并写了一封信反问胡适，说他立场前后矛盾。胡适死前一个月，特别将王世杰给他的信，做了一份抄本，还给王世杰留存。王世杰又说胡适当时极力想劝蒋委员长避免对日本全面作战，他曾有书面意见托汪精卫转交。
008.从小逆流到大回归.txt	16	31-31	11	有一个|说|胡适	还有的人写信批评胡适，认为：“历史的潮流并不是固定在走的那个方向，若说历史只有一个潮流，而这个潮流一定获胜，那就未免太过于简单、过于乐观了。”还有的人认为：“世界分成两个壁垒，倒未尝不是可以乐观的。假如世界成了清一色的文化，无论怎么说也是不好的。若说这是一个大潮流，那是一个小波折，那是看得过于单纯，也有点偏袒了。”
008.从小逆流到大回归.txt	69	138-138	11	故事|说|胡适	胡适的故事告诉了我们：对苏联的希望和对社会主义的信心，能够有所警觉是多么不容易的事。胡适是近代中国第一流的思想家，但他自己，虽然处处小心，但也难免在思想上受骗；至于其他的人，在行动上被骗的，也就处处皆是，尤其是“联俄容共”、“以俄为师”的国民党，更被骗得七荤八素(22)。这些瘟生相、凯子相，历史俱在，也就不必多说了！
008.从小逆流到大回归.txt	93	186-186	11	从前|问|答|说|逃|彼得	(22)梁启超在这方面，倒有先知式的例外。当国民党“联俄容共”、“以俄为师”的时候，南方的报刊纷纷宣传苏联可以合作、可以信任，北方的思想家梁启超却提出疑虑，梁启超说：“问苏俄是不是帝国主义者？我毫不沉吟的答道：他是帝国主义的结晶、他是帝国主义的大魔王……俗语说得好：‘江山易改，本性难移’，一国的国民性，可是换一面招牌就改得转来吗？俄国人玩的政治，对内只是专制，对外只是侵略，他们非如此不能过瘾。不管苏不苏、赤不赤，玩来玩去总是这一套。马克思便是化身的希腊正教上帝，列宁便是转轮再生的大彼得，全俄人民从前是‘沙’的脚下草，现在便照例承袭充当执行委员的脚底泥；中国从前是‘沙’的梦想汤沐邑，现在便是红旗底下得意的抛球场。苏俄啊！你要辩明你不是帝国主义吗？你哪一天把在中国的活动停息，我们那一天立刻就相信你。但是能吗？”（《覆刘勉己书论对俄问题》）但是，这种警告引狼入室的先知言论，在“政治挂帅”的狂热下，国民党是听不进去的，“联俄容共”、“以俄为师”的结果，使中国吃了苏俄的大亏，国民党所应负的历史责任，自然也难逃清议与公论。“政治挂帅”者不接受思想家的领导，下场一至于此！
009.“千秋万岁名，寂寞身后事”.txt	25	49-49	11	有一个|说|彼得	过了不多的时候，又有一个人看见他，说：“你也是他们一党的。”彼得说：“你这个人！我不是！”
009.“千秋万岁名，寂寞身后事”.txt	26	51-51	11	有一个|说|彼得	约过了一小时，又有一个人极力的说：“他实在是同那人一伙的，因为他也是加利利人。”彼得说：“你这个人！我不晓得你说的是什么！”
010.一贯作业搜奇.txt	64	127-127	11	笑话|笑|胡适	强词夺理也许可以原谅的，但是强词夺理否认一事，便须连带否认两事：既否认胡适遗嘱第四条不包括著作权在内，就得连带否认中央研究院曾以著作权转赠江冬秀、就得连带否认江冬秀曾接受中央研究院对于著作权的转赠。但是由于“五十六年（1967）元月4日”转赠胡适著作权是公证行为，已载之公文书，双方都不容否认，既然都不容否认，却争执遗嘱第四条“遗赠”中不含著作权在内，这不是笑话，又是什么呢？
011.“你们后死有责！”.txt	4	7-7	11	后来|问|说|死|请|胡适	因为事先知道你要陪德刚去胡适纪念馆，所以我曾特别请你和德刚向王志维交涉——胡适死了二十年了，究竟《胡适全集》还要等多久才编好？我也请你向杨联陞交涉，因为根据胡适遗嘱，明说：“所有文稿均请美国哈佛大学教授杨联陞及国立台湾大学教授毛子水两人，来整理安排出版。”如今二十年下来，毫无“整理安排出版”的影子，杨毛诸公愧对故人与士林，自不消说。后来我得知你交涉不得要领，他们仍旧“忌者不自修而畏人修”，仍旧尸居余气，我曾向你表示：我忍了二十年了，我要公开质问他们！
012.豹死留了什么皮？.txt	37	73-73	11	故事|问	第九篇与第十篇讨论政治上两个根本问题，收在这里做个附录。周栎园《书影》里有一则很有意味的故事：
013.用胡适给傅斯年的一封私信收尾.txt	11	21-21	11	笑话|笑|胡适	我这段文字发表后二十五年，《中国时报》“人间副刊”、中央研究院胡适纪念馆、远流出版公司，在1986年2月24日主办了一次所谓“胡适逝世二十四周年纪念演讲会”，由台大历史系的“张忠栋教授”演讲《在动乱中坚持民主的胡适（1931-1949）》，我看了发表在《中国时报》的讲稿（1986年2月25日至27日），深感全篇不出李敖《播种者胡适》的范围，讲稿中袭取李敖论断的精华，却又没有李敖论史行文的渊博与审慎，例如“张忠栋教授”连《独立评论》与《独立时论》明明是两个出版品都分不清，而以专家自居，侈谈胡适如何如何，岂非学术上的大笑话？
014.武侠小说，下流！.txt	5	9-9	11	问|答|说|胡适|自由报|武侠小说	香港是外国殖民地，也是一个本身没有什么生产力，而专靠产品加工、转口以维生存的工商业都市。一般市民对政治问题多不感兴趣，他们每天看报纸的唯一注意之点，就是社会新闻和武侠、侦探小说之类，关于政论文字大家漠不关心。然《自由报》的内容，是以政论文字为中心的，这跟香港大多数民众的胃口不相投合，就生意经设想，可说是先天的基本缺点，然就文化思想斗争关系看，实属应有之义。在创刊伊始，为着迁就现实环境，曾刊载了一篇武侠小说，等我到台湾晤及胡适之先生时，他以严肃的态度对我说道：“为什么你办的报，亦登载那种时代落伍的武侠小说呢？”答以旨在应付环境，希望报纸能打开销路而已。他又说：“你是为理想而办报呢？抑是为营利而办报？我相信你的目的是属于前者，那么，以有限的宝贵篇幅，似不宜刊载与现代文化思想潮流相背驰的文艺作品吧？”我无词以对，马上把武侠小说停刊了。幸而这篇小说乃是好友彭浩一兄所写，而且是义务帮忙性质，声明不受酬的，因而彭兄很谅解我，无所容心。但我对适之先生的关怀指教，铭感殊深。
005.胡适和三个人.txt	11	21-21	10	问|说|他说|请|胡适	四、“象恭”君此文中有许多字句是显然存心攻讦的。上文所引“自投送门”一语便是明例。又如他说胡适“把陈女士‘负责’介绍给‘他的朋友’任叔永”；请问他特别用引号标出的“负责”“他的朋友”是什么意思？是不是有心布出疑阵，藉此攻讦我？又如他在最末说任先生夫妇的“感情总还是淡淡的”，请问先生，这种文字是不是有恶意的挑拨与攻讦？我对这些，也不能不向先生提出抗议。
